,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
132,133,kcl,GR7,Greenwich - Blackheath,Blackheath Hill,11,Greenwich,Roadside,538141.0,176710.0,51.472504,-0.012381,2002-03-08 11:00:00,,2024,2002,POINT (538141.0000414589 176710.00008304534)
124,125,kcl,RI2,Richmond Upon Thames - Barnes Wetlands,"Barnes Wetlands Center, Richmond",27,Richmond,Suburban,522989.0,176729.0,51.476168,-0.230427,2001-03-29 11:00:00,,2024,2001,POINT (522989.0000369114 176729.00008305232)
391,392,kcl,LW2,Lewisham - New Cross,"Newcross Road, New Cross",23,Lewisham,Roadside,536241.0,176932.0,51.474954,-0.039641,2002-03-31 14:45:00,,2024,2002,POINT (536241.0000408887 176932.0000831121)
123,124,kcl,RI1,Richmond Upon Thames - Castelnau,"Castelnau Library grounds, Castelnau, Richmond",27,Richmond,Roadside,522498.0,177165.0,51.480189,-0.237335,2000-06-14 01:15:00,,2024,2000,POINT (522498.0000367641 177165.00008318177)
413,414,kcl,WAA,Wandsworth - Battersea,"Thessaly Road, Wandsworth",32,Wandsworth,Roadside,529137.0,177249.0,51.4794395281222,-0.141786953606306,2012-06-19 01:00:00,,2024,2012,POINT (529137.0000387565 177249.00008320733)
141,142,kcl,GR2,Greenwich Black Smoke (GREENWICH 9),Greenwich High Road,650,DEFRA Black Smoke,Urban Background,538200.0,177300.0,51.4777582451782,-0.0113393412841005,1973-04-03 01:00:00,,2024,1973,POINT (538200.0000414766 177300.0000832227)
38,39,kcl,LW5,Lewisham - Deptford,"Crossfield Street, Deptford, Lewisham, ",23,Lewisham,Urban Background,537228.0,177471.0,51.4795312838203,-0.0252606031340197,2019-09-20 01:00:00,,2024,2019,POINT (537228.0000411848 177471.0000832741)
492,493,kcl,SK5,Southwark - A2 Old Kent Road,"Toys R Us, Old Kent Road, London",28,Southwark,Roadside,534844.0,177515.0,51.4804994936467,-0.0595528932573422,2010-11-24,,2024,2010,POINT (534844.0000404693 177515.00008328643)
16,17,kcl,SK9,Southwark - A2 Old Kent Road FIDAS,"Toys R Us, Old Kent Road, London",28,Southwark,Roadside,534844.0,177515.0,51.4804994936467,-0.0595528932573422,2010-11-24,,2024,2010,POINT (534844.0000404693 177515.00008328643)
145,146,kcl,LB5,Lambeth - Bondway Interchange,"Vauxhall Cross Interchange, traffic island in middle of Bondway / Wandsworth Road",22,Lambeth,Industrial,530317.0,177952.0,51.4854867739729,-0.124545234819213,2005-02-01,,2024,2005,POINT (530317.0000391108 177952.0000834191)
